[Common_Strings].StoryEventsLevelText;Additional deputies and reinforcements:
[Traders.Trader2].NeedText;Trading with Forester is possible only if you control the Camp near the Kapper in the Red Forest location. Cost:
[Traders.Trader3].Name;Sakharov
[Traders.Trader3].NeedText;Sakharov is available only if you control the Scientists' Bunker territory on the Yantar location. Cost:
[StoryEvents.Event-Boost-1].Name;Selected Game Mode
[StoryEvents.Event-Boost-1].Desc-Owner;A mode was selected where Monolith and Zombies receive reinforcements (additional fighters arrive only within the current turn), and additionally, Loners (5 deputies) and Military (1 deputy) receive extra deputy candidates every 5 turns.
[StoryEvents.Event-Boost-1].Desc-NonOwner;A mode was selected where Monolith and Zombies receive reinforcements (additional fighters arrive only within the current turn), and additionally, Loners (5 deputies) and Military (1 deputy) receive extra deputy candidates every 5 turns.
[StoryEvents.Event-Boost-2].Name;Reinforcements Arrived!
[StoryEvents.Event-Boost-2].Desc-Owner;Reinforcements have arrived at territory %0:s on location %1:s!
[StoryEvents.Event-Boost-2].Desc-NonOwner;If you see this, it's a bug in event Event-Boost-2.
[StoryEvents.Event-Boost-3].Name;Reinforcements Arrived!
[StoryEvents.Event-Boost-3].Desc-Owner;Reinforcements have arrived at territory %0:s on location %1:s!
[StoryEvents.Event-Boost-3].Desc-NonOwner;If you see this, it's a bug in event Event-Boost-3.
[StoryEvents.Event-Boost-4].Name;New Candidate
[StoryEvents.Event-Boost-4].Desc-Owner;Warrant Officer Sokolov is available as a new deputy candidate! No more candidates are expected.
[StoryEvents.Event-Boost-4].Desc-NonOwner;If you see this, it's a bug in event Event-Boost-4.
[StoryEvents.Event-Boost-5].Name;New Candidate
[StoryEvents.Event-Boost-5].Desc-Owner;Dog is available as a new deputy candidate! The next candidate will be available in 5 turns if territory %0:s on location %1:s remains under faction control.
[StoryEvents.Event-Boost-5].Desc-NonOwner;If you see this, it's a bug in event Event-Boost-5.
[StoryEvents.Event-Boost-6].Name;New Candidate
[StoryEvents.Event-Boost-6].Desc-Owner;Vasily is available as a new deputy candidate! The next candidate will be available in 5 turns if territory %0:s on location %1:s remains under faction control.
[StoryEvents.Event-Boost-6].Desc-NonOwner;If you see this, it's a bug in event Event-Boost-6.
[StoryEvents.Event-Boost-7].Name;New Candidate
[StoryEvents.Event-Boost-7].Desc-Owner;Vasyan is available as a new deputy candidate! The next candidate will be available in 5 turns if territory %0:s on location %1:s remains under faction control.
[StoryEvents.Event-Boost-7].Desc-NonOwner;If you see this, it's a bug in event Event-Boost-7.
[StoryEvents.Event-Boost-8].Name;New Candidate
[StoryEvents.Event-Boost-8].Desc-Owner;Puzo is available as a new deputy candidate! The next candidate will be available in 5 turns if territory %0:s on location %1:s remains under faction control.
[StoryEvents.Event-Boost-8].Desc-NonOwner;If you see this, it's a bug in event Event-Boost-8.
[StoryEvents.Event-Boost-9].Name;New Candidate
[StoryEvents.Event-Boost-9].Desc-Owner;Vovka Hedgehog is available as a new deputy candidate! The next candidate will be available in 5 turns if territory %0:s on location %1:s remains under faction control.
[StoryEvents.Event-Boost-9].Desc-NonOwner;If you see this, it's a bug in event Event-Boost-9.
ScenarioName;Last Stand. Clear Sky
ScenarioDescription;This scenario is non-canonical. Each faction starts with 1 territory. There are no time limits. Victory is achieved by capturing the entire Zone; defeat occurs upon losing your last territory. Diplomacy between factions diverges significantly from canon.
[Groups.bandits.:main].Spy1-Name;Novice
[Groups.bandits.:main].Spy2-Name;Experienced
[Groups.bandits.:main].Spy3-Name;Veteran
[Groups.bandits.:main].Spy4-Name;Master
[Groups.bandits.:main].Name;Bandits
[Groups.bandits.:main].Description;Bandits - the criminal element of the Zone. They control significant territories closer to the southern parts of the Zone. Despite their favorable position, defense won't be easy, as they are in conflict with almost everyone. They lack proper weaponry and a substantial number of capable fighters. The faction needs reorganization, both in internal affairs and external relations.
[Groups.bandits.:main].DiplomacyText-Question-War;Well, sucker, had your fun? Time to face the music! The boys are comin' for ya!
[Groups.bandits.:main].DiplomacyText-Question-Neutral;Hey-hey! Bro, chill out, yeah? Time to stop shootin' at each other, capiche?
[Groups.bandits.:main].DiplomacyText-Question-Alliance;Hey, Bro, how 'bout we team up, yeah? Y'know... shoot some guys together... and all that. Whaddya say? Deal?
[Groups.bandits.:main].DiplomacyText-Question-BreakAlliance;Nah, man, you're a real sucker, a total loser. From now on, everyone's on their own!
[Groups.bandits.:main].DiplomacyText-RequestMoney-Ask;Hey, listen up, pal, got any spare change, yeah? We could use about this much:
[Groups.bandits.:main].DiplomacyText-Ans-0-Down;Who do you think you're messin' with, tough guy? You're dead meat, ya hear?!
[Groups.bandits.:main].DiplomacyText-Ans-1-Down;Well, that's just... wow, man...
[Groups.bandits.:main].DiplomacyText-Ans-1-No;We'll find some - and cut it into strips!
[Groups.bandits.:main].DiplomacyText-Ans-1-Yes;Listen, we won't touch ya, word is bond, for real!
[Groups.bandits.:main].DiplomacyText-Ans-2-No;Nah, nah, that's totally not it, you're bluffing!
[Groups.bandits.:main].DiplomacyText-Ans-2-Yes;Hang tight, bro, everything's gonna be smooth real soon...
[Groups.bandits.:main].DiplomacyText-RequestMoney-Ans-No;Did you hit your head or somethin'? Where would we get that kind of cash! We could use some ourselves...
[Groups.bandits.:main].DiplomacyText-RequestMoney-Ans-Yes;Bro, here's the dough!
[Groups.bandits.:main].DiplomacyText-Question-Neutral-No;Bro, that was really uncalled for! Shouldn't have done that...
[Groups.bandits.:main].DiplomacyText-Question-Neutral-Yes;Hey, bro, that's what I'm talkin' about! Good job...
[Groups.bandits.:main].DiplomacyText-Question-Alliance-No;Bro, that was really uncalled for! Shouldn't have done that...
[Groups.bandits.:main].DiplomacyText-Question-Alliance-Yes;Oh, bro, excellent! Now we'll be shootin' suckers together!
[Groups.bandits.:main].Text-End-Step-Victory;You survived! Victory!
[Groups.bandits.:main].Text-End-EventFlag-Victory;Victory by event flag!
[Groups.bandits.:main].Text-End-Standart-Lose;The faction has been completely wiped out. Now other factions will divide the Zone among themselves. Defeat!
[Groups.bandits.:main].Text-End-Step-Lose;Time's up. You failed to gain control over the Zone. Defeat!
[Groups.bandits.:main].Text-End-EventFlag-Lose;Defeat by event flag!
[Groups.bandits.Anarchy].Text-End-Standart-Victory;Victory! Soon the faction behaved less and less like what it originally was. Yes, crime remained, but there was less of it. The leadership tried to promote ideas close to what the "Freedom" faction preached, but the rank-and-file were in no hurry to embrace these new ideals, as the old ways of robbery and looting seemed simpler and more understandable. The faction was fracturing before everyone's eyes. Each new day brought fresh disobedience from separate groups. A new conflict in the Zone was imminent...
[Groups.bandits.AntiZone].Text-End-Standart-Victory;Victory! Soon the faction behaved less and less like what it originally was. Crime decreased significantly. The leadership increasingly pushed the theme of fighting the Zone. Yes, many understood that there was no one left to rob - everyone around was "one of us" - and in principle agreed, but since there were genuine criminals in the faction, separate groups emerged that robbed those very "own people". Local skirmishes flared up everywhere. The Zone was once again a step away from a large-scale war of all against all...
[Groups.bandits.Control].Text-End-Standart-Victory;Victory! Soon the faction behaved less and less like what it originally was. Crime decreased significantly. A strict hierarchy was introduced. The situation was most accurately described by the name "Penal Battalion". Rumors circulated among faction members that the leadership had bent to government forces. Many accepted this fact, but there were also those "bosses" and "kingpins" who disagreed with such order. A new large-scale conflict was brewing, but this time within the faction itself...
[Groups.bandits.Crime].Text-End-Standart-Victory;"Victory! The Zone turned into a criminal quasi-state. The Zone began to live ""by the code"". Soon there was no one left to rob, and the faction sank into feuds. Instead of shooting monsters and collecting artifacts, Bandits shot at each other..."
[Groups.bandits.Crime].Text-End-Standart-Lose;The last Bandit caught a bullet. There is no more place for the criminal world in the Zone... Defeat!
[Groups.bandits.Crime].Text-End-Step-Lose;"Time's up. The boys say you're no ""boss"" at all... Defeat!"
[Groups.bandits.Exploring].Text-End-Standart-Victory;Victory! The faction controls the entire territory. There is no one left to rob. Soon there will be nowhere to loot either... The leadership is already actively switching to profitable contracts from the government. Groups of Scientists taking measurements of anomalous activity under the watchful guard of local "brothers" can now often be seen in the Zone. Yesterday's Bandits now walked around doing the very thing they once considered too dirty for themselves - searching for artifacts, harvesting mutant body parts, taking strange measurements with equally strange devices. Not everyone liked this, so separate groups of people emerged who organized attacks on "their own". They tried to fight them actively, but more and more of these "dissenters" appeared, as not many found their place in the new reality of working to study the Zone...
[Groups.bandits.Growth].Text-End-Standart-Victory;"Victory! The Zone turned into a criminal quasi-state. The Zone began to live ""by the code"". Soon there was no one left to rob, and the faction sank into feuds. Instead of shooting monsters and collecting artifacts, Bandits shot at each other..."
[Groups.bandits.Growth].Text-End-Standart-Lose;The last Bandit caught a bullet. There is no more place for the criminal world in the Zone... Defeat!
[Groups.bandits.Growth].Text-End-Step-Lose;"Time's up. The boys say you're no ""boss"" at all... Defeat!"
[Groups.bandits.Mercenary].Text-End-Standart-Victory;Victory! The faction controls the entire territory. There is no one left to rob. Soon there will be nowhere to loot either... The leadership is already actively switching to profitable contracts from the outside world. But the emphasis was placed on more criminal contracts, so Scientists in the Zone guarded by local fighters were practically never seen, which significantly limited the study of the Zone. The government planned to undertake several military operations to regain control over key Zone facilities. Soon there will be a "War in the Zone" again...
[Groups.bandits.Sectarianism].Text-End-Standart-Victory;Victory! But despite the faction occupying all territories, there was no real control over the forces. Confusion reigned everywhere. Strange speeches from the leadership, strange behavior of everyone in the northern Zone, the recently reactivated psi-installations... All this worried those in the south. The south began to arm itself and form its own hierarchy with commanders. A new stage of the "War in the Zone" was about to begin...
[Groups.bandits.Stability].Text-End-Standart-Victory;Victory! The faction controls the entire territory. There is no one left to rob. Soon there will be nowhere to loot either... The leadership actively tries to find new ways to enrich themselves. Fighters began to be divided into subgroups. Some for artifact hunting, some for hunting mutant body parts, others used as mercenaries for external contracts. But there were also those for whom none of this "peaceful" craft suited. Soon the first conflicts began, followed by fights. The faction's internal hierarchy was in turmoil, and it was unknown how it would all end...
[Groups.bandits.Stalkers].Text-End-Standart-Victory;Victory! Soon the faction behaved less and less like what it originally was. Crime truly decreased. Pay your share - and you can walk around and collect artifacts. No one should interfere. And if someone does, those guys will be found. Quickly. But if they have patrons in the leadership, they'll just be let off with a verbal warning. So soon separate groups with their own leaders formed within the faction, pulling it toward an armed internal conflict...
[Groups.bandits.Unknow].Text-End-Standart-Victory;"Victory! The Zone turned into a criminal quasi-state. The Zone began to live ""by the code"". Soon there was no one left to rob, and the faction sank into feuds. Instead of shooting monsters and collecting artifacts, Bandits shot at each other..."
[Groups.bandits.Unknow].Text-End-Standart-Lose;The last Bandit caught a bullet. There is no more place for the criminal world in the Zone... Defeat!
[Groups.bandits.Unknow].Text-End-Step-Lose;"Time's up. The boys say you're no ""boss"" at all... Defeat!"
[Groups.bandits.Zombie].Text-End-Standart-Victory;Victory! Now the C-Consciousness is safe. Soon psi-emission covered the entire Zone thanks to an increased number of emitters. Even the Cordon became dangerous. Although the government did not let mutants out of the Zone, it no longer tried to reclaim it...
[Groups.Duty.:main].Spy1-Name;Novice
[Groups.Duty.:main].Spy2-Name;Experienced
[Groups.Duty.:main].Spy3-Name;Veteran
[Groups.Duty.:main].Spy4-Name;Master
[Groups.Duty.:main].Name;Duty
[Groups.Duty.:main].Description;Duty - the faction's goal is to protect the world from the contamination of the Zone. A fairly powerful militarized faction. A favorable position, good weaponry, and a predisposition to fighting mutants guarantee success in capable hands.
[Groups.Duty.:main].DiplomacyText-Question-War;You and your gang are a threat to the world. Time to deal with you!
[Groups.Duty.:main].DiplomacyText-Question-Neutral;We want to establish a ceasefire with you. Do you agree?
[Groups.Duty.:main].DiplomacyText-Question-Alliance;We propose an alliance. Together we could carry out a couple of operations against our enemies. Do you agree?
[Groups.Duty.:main].DiplomacyText-Question-BreakAlliance;We will no longer cooperate!
[Groups.Duty.:main].DiplomacyText-RequestMoney-Ask;Got any spare funds? Times are tough for us. We could use about this much:
[Groups.Duty.:main].DiplomacyText-Ans-0-Down;Understood. We'll cleanse the Zone of you too!
[Groups.Duty.:main].DiplomacyText-Ans-1-Down;Pity... but if you insist, so be it.
[Groups.Duty.:main].DiplomacyText-Ans-1-No;No, we definitely won't go for that right now.
[Groups.Duty.:main].DiplomacyText-Ans-1-Yes;We hope for further cooperation.
[Groups.Duty.:main].DiplomacyText-Ans-2-No;No, we definitely won't go for that right now.
[Groups.Duty.:main].DiplomacyText-Ans-2-Yes;Ri-i-ight, excellent, we have a deal!
[Groups.Duty.:main].DiplomacyText-RequestMoney-Ans-No;No, we cannot help at the moment.
[Groups.Duty.:main].DiplomacyText-RequestMoney-Ans-Yes;Very well, we will help you.
[Groups.Duty.:main].DiplomacyText-Question-Neutral-No;Oh, what a shame you refused!
[Groups.Duty.:main].DiplomacyText-Question-Neutral-Yes;Good, that's encouraging!
[Groups.Duty.:main].DiplomacyText-Question-Alliance-No;Oh, what a shame you refused!
[Groups.Duty.:main].DiplomacyText-Question-Alliance-Yes;Good, that's encouraging!
[Groups.Duty.:main].Text-End-Step-Victory;You survived! Victory!
[Groups.Duty.:main].Text-End-EventFlag-Victory;Victory by event flag!
[Groups.Duty.:main].Text-End-Standart-Lose;The faction has been completely wiped out. Now other factions will divide the Zone among themselves. Defeat!
[Groups.Duty.:main].Text-End-Step-Lose;Time's up. You failed to gain control over the Zone. Defeat!
[Groups.Duty.:main].Text-End-EventFlag-Lose;Defeat by event flag!
[Groups.Duty.Anarchy].Text-End-Standart-Victory;Victory! It would seem the war is finally over. The Zone is controlled by a single faction. But not long ago, its ideology changed. And to one that its founders had opposed. Even before the war ended, disagreements were brewing among commanders. It seems a new "War in the Zone" is approaching, and this one will be purely ideological...
[Groups.Duty.AntiZone].Text-End-Standart-Victory;Victory! Soon Duty established contact with the government and began cooperating with them. Mutants were eradicated, Scientists were dispatched to the Zone more frequently. Duty members increasingly noticed secret service agents among their ranks, but perhaps those were just rumors...
[Groups.Duty.AntiZone].Text-End-Standart-Lose;Your faction has been completely destroyed. The last Duty members scattered in all directions, lacking the will to fight for Duty's ideals. Defeat!
[Groups.Duty.Control].Text-End-Standart-Victory;Victory! Soon the leadership established contact with the government and began openly cooperating with them. Not everyone approved. Some stalkers broke away from the main group and formed their own factions in different parts of the Zone. A new "War in the Zone" for control over everything inside the perimeter is brewing.
[Groups.Duty.Crime].Text-End-Standart-Victory;Victory! It would seem that order has finally come to the Zone. But that might only appear so from the outside. The faction's leadership is now in the hands of criminal elements. Everything is gradually sliding into ordinary racketeering, looting, and "protection". New conflicts are brewing. The faction certainly won't be able to remain a unified whole...
[Groups.Duty.Exploring].Text-End-Standart-Victory;Victory! Soon the leadership established contact with the government and made some concessions to avoid conflict with the outside world. Faction members generally supported this direction, as it is much easier to fight an enemy you have studied well. Stalkers in the field already felt the first results of cooperation: excellent artifact detection devices, more accurate instruments for marking anomalous locations, vulnerable spots on mutants. This allowed faction members to overlook the fact that documents from laboratories were handed over to the government, and everyone who knew their contents somehow suddenly disappeared. Allegedly, they "lost interest in the Zone and decided to return home". And to this day, anyone who finds any documents in the Zone's underground disappears...
[Groups.Duty.Growth].Text-End-Standart-Victory;Victory! Soon Duty established contact with the government and began cooperating with them. Mutants were eradicated, Scientists were dispatched to the Zone more frequently. Duty members increasingly noticed secret service agents among their ranks, but perhaps those were just rumors...
[Groups.Duty.Growth].Text-End-Standart-Lose;Your faction has been completely destroyed. The last Duty members scattered in all directions, lacking the will to fight for Duty's ideals. Defeat!
[Groups.Duty.Mercenary].Text-End-Standart-Victory;Victory! Now the Zone is controlled by a single faction. But not long ago, its priorities changed. For some reason, mutants are no longer being actively exterminated. Everyone talks about money and how to earn it easier... Organize "safaris for the rich from the outside world"? Or catch a mutant for sale? Maybe smuggle a rare artifact across the perimeter into someone's private collection? This approach to the Zone didn't sit well with everyone. Within the faction's ranks, there were those who still remembered what true Duty once was. They gradually separated from the main mass and occupied key points inside the perimeter. Rumor has it they are being helped by the Military. It is highly likely the Zone awaits new clashes with many casualties...
[Groups.Duty.Sectarianism].Text-End-Standart-Victory;Victory! It would seem the war is finally over. The Zone is controlled by a single faction. But not long ago, its priorities changed. For some reason, mutants are no longer being actively exterminated. Everyone talks about certain patrons from the north. Documents from laboratories disappear in unknown directions. Among ordinary fighters, resentment is growing due to the strange religious speeches of their commanders. Not everyone is ready to have their brains washed by some incomprehensible sermons. Especially those in the southern Zone. New contacts with the Military have already been established. And recent news about the activation of psi-installations in the north made it clear - there is no turning back. Inside the perimeter, a new "War in the Zone" is about to begin...
[Groups.Duty.Stability].Text-End-Standart-Victory;Victory! Soon the faction established contact with the government and began cooperating with them. Progress was slow, despite pressure from the outside world. Mutants were still being eradicated, artifacts were still being sought, Scientists were still being guarded. But everything was somehow unhurried. Some got the impression that the leadership was in no hurry to fight the manifestations of the Zone. Certain individuals claimed that the leadership was dragging its feet because they were trying to enrich themselves as much as possible; others said that faction leaders didn't want to lose the power they held. There was practically no discontent among rank-and-file fighters, as no one was shortchanged in terms of earnings, but ideologically charged commanders began preparing a coup...
[Groups.Duty.Stalkers].Text-End-Standart-Victory;Victory! Soon the faction's leadership increasingly shifted the focus of its propaganda. Artifact hunting, cooperation with the government and Scientists became routine. There were no Bandits left in the Zone, and any racketeering was nipped in the bud, so earning money in the Zone became somewhat easier. But although the government didn't particularly conflict with the faction's leadership, it was preparing plans to take the Zone under its control...
[Groups.Duty.Unknow].Text-End-Standart-Victory;Victory! Soon Duty established contact with the government and began cooperating with them. Mutants were eradicated, Scientists were dispatched to the Zone more frequently. Duty members increasingly noticed secret service agents among their ranks, but perhaps those were just rumors...
[Groups.Duty.Unknow].Text-End-Standart-Lose;Your faction has been completely destroyed. The last Duty members scattered in all directions, lacking the will to fight for Duty's ideals. Defeat!
[Groups.Duty.Zombie].Text-End-Standart-Victory;Victory! Now the C-Consciousness is safe. Soon psi-emission covered the entire Zone thanks to an increased number of emitters. Even the Cordon became dangerous. Although the government did not let mutants out of the Zone, it no longer tried to reclaim it...
[Groups.freedom.:main].Spy1-Name;Novice
[Groups.freedom.:main].Spy2-Name;Experienced
[Groups.freedom.:main].Spy3-Name;Veteran
[Groups.freedom.:main].Spy4-Name;Master
[Groups.freedom.:main].Name;Freedom
[Groups.freedom.:main].Description;Freedom - an anarchist faction that is hostile to government troops and research groups. A favorable position, experienced fighters who are also well-armed... Almost the perfect recipe for a successful faction in capable hands.
[Groups.freedom.:main].DiplomacyText-Question-War;Alright, man, get ready! We're comin' for you and your crew.
[Groups.freedom.:main].DiplomacyText-Question-Neutral;Dude, maybe we can call it a day, huh?
[Groups.freedom.:main].DiplomacyText-Question-Alliance;Hey man, how about an alliance? Whaddya think?
[Groups.freedom.:main].DiplomacyText-Question-BreakAlliance;Sorry, dude, but our paths diverge.
[Groups.freedom.:main].DiplomacyText-RequestMoney-Ask;Hey, man! Freedom's runnin' low on free cash... Could you spare us an amount like this:
[Groups.freedom.:main].DiplomacyText-Ans-0-Down;Looks like coffins are gonna get expensive!
[Groups.freedom.:main].DiplomacyText-Ans-1-Down;O-o-oh... Got it, man, whatever.
[Groups.freedom.:main].DiplomacyText-Ans-1-No;Nah, we're not down with that.
[Groups.freedom.:main].DiplomacyText-Ans-1-Yes;Okay, we're cool!
[Groups.freedom.:main].DiplomacyText-Ans-2-No;Nah, dude, we're passin' on this one.
[Groups.freedom.:main].DiplomacyText-Ans-2-Yes;O-o-oh, sweet, it's a deal!
[Groups.freedom.:main].DiplomacyText-RequestMoney-Ans-No;Man, nah, what? We ain't ready to drop that kinda cash right now...
[Groups.freedom.:main].DiplomacyText-RequestMoney-Ans-Yes;Dude, no problem! Already sent!
[Groups.freedom.:main].DiplomacyText-Question-Neutral-No;Man, that's bad news...
[Groups.freedom.:main].DiplomacyText-Question-Neutral-Yes;Dude, that's great news!
[Groups.freedom.:main].DiplomacyText-Question-Alliance-No;O-o-oh... Got it, man, whatever.
[Groups.freedom.:main].DiplomacyText-Question-Alliance-Yes;Man, that's awesome!
