[Common_Strings].StoryEventsLevelText;Additional deputies (recommended)
[Groups.bandits.:main].DiplomacyText-Question-Neutral-No;Bro? you really screwed up. You shouldn't have done that?
[Groups.bandits.:main].DiplomacyText-Question-Neutral-Yes;Well damn, bro, you made my day! Nice one?
[Groups.bandits.:main].DiplomacyText-Question-Alliance-No;Bro? you really messed up. Shouldn't have done that?
[Groups.bandits.:main].DiplomacyText-Question-Alliance-Yes;Oh hell yeah, bro! Now we'll be popping chumps together!
[Groups.bandits.:main].Text-End-Step-Victory;You survived! Victory!
[Groups.bandits.:main].Text-End-EventFlag-Victory;Victory by event flag!
[Groups.bandits.:main].Text-End-Standart-Lose;The faction has been completely destroyed, now the Zone will be divided between other factions. Defeat!
[Groups.bandits.:main].Text-End-Step-Lose;Time's up, you failed to gain control of the Zone. Defeat!
[Groups.bandits.:main].Text-End-EventFlag-Lose;Defeat by event flag!
[Groups.bandits.Anarchy].Text-End-Standart-Victory;Victory! The faction's behavior soon became less and less like its original form. Yes, there was still crime, but it was diminishing. The elite tried to promote a theme close to that advocated by the "Freedom" faction, while the lower ranks were slow to embrace these new ideals, as the old methods of robbery and looting seemed simpler and more understandable. The group was splintering before our eyes. Every new day brought new instances of disobedience by individual groups. A new conflict in the Zone was about to begin...
[Groups.bandits.AntiZone].Text-End-Standart-Victory;Victory! The gang's behavior soon became less and less like its original self. The criminal element diminished significantly. The leadership increasingly pushed the idea of ??fighting the Zone. Yes, many understood that there was no one left to rob, everyone was part of the faction, and they agreed. But since the gang also included real criminals, separate groups formed to rob those same «their own». Localized fighting broke out all around. The Zone once again found itself on the brink of a full-scale war of all against all...
[Groups.bandits.Control].Text-End-Standart-Victory;Victory! The faction's behavior soon became less and less like its original form. Crime levels dropped significantly. A strict hierarchy was established. The name "Penal Battalion" best described the situation. Rumors circulated among the faction's members that the top brass had caved in to the government's influence. Many accepted this, but there were also those in power with the "big shots" who disagreed with this arrangement. A new, large-scale conflict was brewing, this time within the group...
[Groups.bandits.Crime].Text-End-Standart-Victory;Victory! The Zone had become a criminal quasi-state. The Zone began to live by its own rules. Soon, there was no one left to rob, and the gang became mired in infighting. Instead of shooting monsters and looting artifacts, the Bandits started shooting at each other...
[Groups.bandits.Crime].Text-End-Standart-Lose;The last bandit got the bullet. There's no more room for the criminal underworld in the Zone... Defeat!
[Groups.bandits.Crime].Text-End-Step-Lose;Time's up. The boys say you're no good... Defeat!
[Groups.bandits.Exploring].Text-End-Standart-Victory;Victory! The faction controls the entire territory. There's no one left to rob. Soon, there'll be nowhere left to loot either... The top brass is already actively switching to lucrative contracts from the government. Groups of Scientists can now often be seen in the Zone taking their animal activity measurements under the watchful eye of local «brothers». Yesterday's bandits were already out and about, doing what they once considered too dirty - searching for artifacts, extracting mutant body parts, and taking obscure measurements with equally obscure instruments. Not everyone liked this, so isolated groups emerged who organized attacks on «their own». They tried to actively combat them, but more and more of these «dissenters» appeared, as few found their place in the new reality of studying the Zone...
[Groups.bandits.Growth].Text-End-Standart-Victory;Victory! The Zone had become a criminal quasi-state. The Zone began to live by its own rules. Soon, there was no one left to rob, and the gang became mired in infighting. Instead of shooting monsters and looting artifacts, the Bandits started shooting at each other...
[Groups.bandits.Growth].Text-End-Standart-Lose;The last bandit got the bullet. There's no more room for the criminal underworld in the Zone... Defeat!
[Groups.bandits.Growth].Text-End-Step-Lose;Time's up. The boys say you're no good... Defeat!
[Groups.bandits.Mercenary].Text-End-Standart-Victory;Victory! The faction controls the entire territory. There's no one left to rob. Soon, there will be no more room for looting either... The leadership is already actively switching to lucrative contracts from the outside world. But the emphasis was on more criminal contracts, so Scientists, guarded by local soldiers, were practically nonexistent in the Zone, significantly limiting exploration of the Zone. The government planned to launch several military operations to retake key Zone facilities. Soon there will be a «War in Zone» again...
[Groups.bandits.Sectarianism].Text-End-Standart-Victory;Victory! But despite the fact that the faction had occupied all territories, there was no such control over its forces. Confusion reigned all around. Strange speeches from the leadership, strange behavior from everyone in the northern Zone, the psionic installations soon being turned on again... All this worried those in the south. The south began arming itself and forming its own hierarchy with commanders. A new phase of the «War in Zone» was about to begin...
[Groups.bandits.Stability].Text-End-Standart-Victory;Victory! The group controls the entire territory. There's no one left to plunder. Soon, there will be no more room to loot either... The leadership is actively trying to find new ways to enrich themselves. The soldiers began to be divided into subgroups. Some search for artifacts, others hunt for mutant body parts, and still others are used as mercenaries to carry out external contracts. But there were also those for whom any of the "peaceful" trades were unsuitable. The first conflicts and subsequent fighting soon began. The group's internal hierarchy was in turmoil, and it was unclear how it would all end...
[Groups.bandits.Stalkers].Text-End-Standart-Victory;Victory! The faction soon behaved less and less like its original self. Crime had truly diminished. Pay your share, and you can go and get artifacts. No one should interfere. And if someone does, they'll find those guys. Find them quickly. But if they find patrons high up, they'll let them go with a few words of warning. So, within the faction, separate groups with their own leaders quickly formed, dragging the group toward armed internal conflict...
[Groups.bandits.Unknow].Text-End-Standart-Victory;Victory! The Zone had become a criminal quasi-state. The Zone began to live by its own rules. Soon, there was no one left to rob, and the gang became mired in infighting. Instead of shooting monsters and looting artifacts, the Bandits started shooting at each other...
[Groups.bandits.Unknow].Text-End-Standart-Lose;The last bandit got the bullet. There's no more room for the criminal underworld in the Zone... Defeat!
[Groups.bandits.Unknow].Text-End-Step-Lose;Time's up. The boys say you're no good... Defeat!
[Groups.bandits.Zombie].Text-End-Standart-Victory;Victory! Now O-Consciousness is safe. Soon, psi-radiation covered the entire Zone thanks to the increased number of emitters. Even the Cordon became dangerous. The government, although didn't release mutants from the Zone, no longer tried to retake it...
[Groups.Duty.:main].Spy1-Name;Newbie
[Groups.Duty.:main].Spy2-Name;Experienced
[Groups.Duty.:main].Spy3-Name;Veteran
[Groups.Duty.:main].Spy4-Name;Master
[Groups.Duty.:main].Name;Duty
[Groups.Duty.:main].Description;Duty. The faction's goal is to protect the world from the Zone's contagion. It's a fairly powerful paramilitary group. A favorable location, good weapons, and a predisposition to combat mutants guarantee success in capable hands.
[Groups.Duty.:main].DiplomacyText-Question-War;You and your gang are a threat to peace, it's time to deal with you!
[Groups.Duty.:main].DiplomacyText-Question-Neutral;We want to make a truce with you, do you agree?
[Groups.Duty.:main].DiplomacyText-Question-Alliance;We propose an alliance. Together we can carry out a few operations against our enemies. Do you agree?
[Groups.Duty.:main].DiplomacyText-Question-BreakAlliance;We will no longer cooperate!
[Groups.Duty.:main].DiplomacyText-RequestMoney-Ask;Got any extra cash? Times are tough here. We'd like this much:
[Groups.Duty.:main].DiplomacyText-Ans-0-Down;I see. We'll cleanse the Zone of you too!
[Groups.Duty.:main].DiplomacyText-Ans-1-Down;It's a pity, but since you insist, it will be so.
[Groups.Duty.:main].DiplomacyText-Ans-1-No;No, we definitely won't do that now.
[Groups.Duty.:main].DiplomacyText-Ans-1-Yes;We look forward to further cooperation.
[Groups.Duty.:main].DiplomacyText-Ans-2-No;No, we definitely won't do that now.
[Groups.Duty.:main].DiplomacyText-Ans-2-Yes;Okay, great, deal!
[Groups.Duty.:main].DiplomacyText-RequestMoney-Ans-No;No, we can't help yet.
[Groups.Duty.:main].DiplomacyText-RequestMoney-Ans-Yes;Okay, we will help you.
[Groups.Duty.:main].DiplomacyText-Question-Neutral-No;Oh, it was a shame you refused!
[Groups.Duty.:main].DiplomacyText-Question-Neutral-Yes;Good, that makes me happy!
[Groups.Duty.:main].DiplomacyText-Question-Alliance-No;Oh, it was a shame you refused!
[Groups.Duty.:main].DiplomacyText-Question-Alliance-Yes;Good, that makes me happy!
[Groups.Duty.:main].Text-End-Step-Victory;You survived! Victory!
[Groups.Duty.:main].Text-End-EventFlag-Victory;Victory by event flag!
[Groups.Duty.:main].Text-End-Standart-Lose;The faction was completely destroyed, now the Zone will be divided between other factions. Defeat!
[Groups.Duty.:main].Text-End-Step-Lose;Time's up, you failed to gain control of the Zone. Defeat!
[Groups.Duty.:main].Text-End-EventFlag-Lose;Defeat by event flag!
[Groups.Duty.Anarchy].Text-End-Standart-Victory;Victory! It would seem the war is over. The Zone is controlled by a single faction. But not long ago, its ideology changed. And to one opposed by its founders. Even before the war ended, disagreements were brewing among the commanders. It seems a new «War in Zone» is brewing, one that will be purely ideological...
[Groups.Duty.AntiZone].Text-End-Standart-Victory;Victory! Soon, Duty contacted the government and began collaborating. Mutants were eradicated, and scientists were sent to the Zone more and more frequently. Intelligence agents were increasingly spotted in Duty, but perhaps these were just rumors...
[Groups.Duty.AntiZone].Text-End-Standart-Lose;Your faction has been completely destroyed. The last of the Duty members have scattered, lacking the will to fight for the ideals of Duty. Defeat!
[Groups.Duty.Control].Text-End-Standart-Victory;Victory! Soon, the leadership contacted the government and began openly collaborating. Not everyone was happy about this. Some stalkers broke away from the main faction and formed their own groups in different parts of the Zone. A new «War in Zone» for control of everything within the perimeter is brewing.
[Groups.Duty.Crime].Text-End-Standart-Victory;Victory! It would seem that order has finally returned to the Zone. But that could only have been an illusion from the outside. The gang's leadership is now in the hands of criminal elements. Everything is gradually descending into the most common racketeering, looting, and protection rackets. New conflicts are brewing. The gang will definitely not be able to remain united...
[Groups.Duty.Exploring].Text-End-Standart-Victory;Victory! Soon, the leadership contacted the government and made some concessions to avoid conflict with the outside world. The group members generally supported this approach, as a well-studied enemy is much easier to fight. Stalkers on the ground have already experienced the first results of this cooperation: superior artifact-hunting equipment, more precise devices for identifying anomalous locations, and mutant vulnerabilities. This allowed the faction members to avoid noticing that the documents from the laboratories had been handed over to the government, and that everyone who knew about their contents had suddenly disappeared. They allegedly "lost interest in the Zone and decided to return home". And everyone who finds any documents in the Zone's dungeons continues to disappear to this day...
[Groups.Duty.Growth].Text-End-Standart-Victory;Victory! Soon, Duty contacted the government and began collaborating. Mutants were eradicated, and scientists were sent to the Zone more and more frequently. Intelligence agents were increasingly spotted in Duty, but perhaps these were just rumors...
[Groups.Duty.Growth].Text-End-Standart-Lose;Your faction has been completely destroyed. The last of the Duty members have scattered, lacking the will to fight for the ideals of Duty. Defeat!
[Groups.Duty.Mercenary].Text-End-Standart-Victory;Victory! The Zone is now controlled by a single faction. But recently, its priorities have shifted. For some reason, mutants are no longer being exterminated as actively. Everyone talks about money and how to make it easier... Organize a "safari for the rich from the outside world"? Or catch a mutant for sale? Perhaps smuggle a rare artifact through the perimeter into someone's private collection? This approach to the Zone hasn't pleased everyone. Among the faction's ranks, there are those who still remember what the real Duty once was. They are gradually breaking away from the main force and occupying key points within the perimeter. Rumor has it that the Military is helping them. It's highly likely that the Zone will face new clashes with many deaths...
[Groups.Duty.Sectarianism].Text-End-Standart-Victory;Victory! It would seem the war is over. The Zone is controlled by a single faction. But recently, priorities have shifted. For some reason, mutant extermination is no longer being carried out as actively. Everyone is talking about certain patrons from the north. Documents from the laboratories are disappearing in an unknown direction. Resentment is brewing among the ordinary soldiers over the strange religious speeches of their commanders. Not everyone is ready to be brainwashed by some incomprehensible sermons, especially those in the southern Zone. New contacts have already been established with the Military. And recent news about the activation of psionic installations in the north made it clear there is no turning back. A new «War in Zone» is about to begin within the perimeter...
[Groups.Duty.Stability].Text-End-Standart-Victory;Victory! Soon, the faction contacted the government and began collaborating. Things were proceeding slowly, despite pressure from the outside world. Mutants were still being eradicated, artifacts were being sought, scientists were being protected. But everything seemed to be taking its time. Some people got the impression that the higher-ups were in no hurry to combat the Zone's manifestations. Some claimed that the higher-ups were stalling because they were trying to enrich themselves as much as possible, while others said the faction's leaders did not want to lose the power they had. There was virtually no discontent among the rank-and-file soldiers, as no one was being deprived of their livelihoods, but the ideologically charged commanders began plotting a coup?
[Groups.Duty.Stalkers].Text-End-Standart-Victory;Victory! Soon, the faction's leadership began to increasingly shift the focus of its propaganda. Searching for artifacts and collaborating with the government and scientists became commonplace. The Zone was free of bandits, and any racketeering was nipped in the bud, making money in the Zone somewhat easier. But the government, while not particularly conflicting with the faction's leadership, was still plotting to take control of the Zone...
[Groups.Duty.Unknow].Text-End-Standart-Victory;Victory! Soon, Duty contacted the government and began collaborating. Mutants were eradicated, and scientists were sent to the Zone more and more frequently. Intelligence agents were increasingly spotted in Duty, but perhaps these were just rumors...
[Groups.Duty.Unknow].Text-End-Standart-Lose;Your faction has been completely destroyed. The last of the Duty members have scattered, lacking the will to fight for the ideals of Duty. Defeat!
[Groups.Duty.Zombie].Text-End-Standart-Victory;Victory! Now O-Consciousness is safe. Soon, psi-radiation covered the entire Zone thanks to the increased number of emitters. Even the Cordon became dangerous. The government, although didn't release mutants from the Zone, no longer tried to retake it...
[Groups.freedom.:main].Spy1-Name;Newbie
[Groups.freedom.:main].Spy2-Name;Experienced
[Groups.freedom.:main].Spy3-Name;Veteran
[Groups.freedom.:main].Spy4-Name;Master
[Groups.freedom.:main].Name;Freedom
[Groups.freedom.:main].Description;Freedom is an anarchist faction that is hostile to government forces and research teams. Some analysts believe that this faction's location at the Army Depots location is "between a rock and a hard place", but their experienced, well-armed soldiers can hold their own against any faction.
[Groups.freedom.:main].DiplomacyText-Question-War;Well, man, get ready! We're coming for you and your boys.
